Downloading and preparing dataset squad/plain_text (download: 33.51 MiB, generated: 85.75 MiB, post-processed: Unknown sizetotal: 119.27 MiB) to /tmp/xdg-cache/huggingface/datasets/squad/plain_text/1.0.0/408a8fa46a1e2805445b793f1022e743428ca739a34809fce872f0c7f17b44ab...
850M [00:03<00:12, 56.5MB/s]Downloading:  20%|██        | 173M/850M [00:03<00:13, 54.3MB/s]Downloading:  21%|██        | 178M/850M [00:03<00:14, 47.0MB/s]Downloading:  22%|██▏       | 185M/850M [00:03<00:13, 51.6MB/s]Downloading:  22%|██▏       | 190M/850M [00:04<00:15, 43.8MB/s]Downloading:  23%|██▎       | 194M/850M [00:04<00:17, 38.7MB/s]Downloading:  24%|██▎       | 200M/850M [00:04<00:15, 43.6MB/s]Downloading:  24%|██▍       | 206M/850M [00:04<00:14, 47.6MB/s]Downloading:  25%|██▍       | 211M/850M [00:04<00:13, 49.2MB/s]Downloading:  25%|██▌       | 216M/850M [00:04<00:13, 50.3MB/s]Downloading:  26%|██▌       | 221M/850M [00:04<00:14, 46.7MB/s]Downloading:  27%|██▋       | 226M/850M [00:04<00:15, 41.6MB/s]Downloading:  27%|██▋       | 231M/850M [00:05<00:14, 44.7MB/s]Downloading:  28%|██▊       | 238M/850M [00:05<00:12, 52.7MB/s]Downloading:  29%|██▊       | 243M/850M [00:05<00:14, 44.5MB/s]Downloading:  29%|██▉       | 250M/850M [00:05<00:12, 51.3MB/s]Downloading:  30%|███       | 256M/850M [00:05<00:11, 52.3MB/s]Downloading:  31%|███       | 262M/850M [00:05<00:11, 55.5MB/s]Downloading:  31%|███▏      | 267M/850M [00:05<00:12, 50.6MB/s]Downloading:  32%|███▏      | 273M/850M [00:05<00:11, 53.7MB/s]Downloading:  33%|███▎      | 278M/850M [00:06<00:13, 43.4MB/s]Downloading:  33%|███▎      | 283M/850M [00:06<00:13, 45.1MB/s]Downloading:  34%|███▍      | 288M/850M [00:06<00:15, 38.6MB/s]Downloading:  34%|███▍      | 292M/850M [00:06<00:14, 40.2MB/s]Downloading:  35%|███▍      | 296M/850M [00:06<00:16, 35.4MB/s]Downloading:  35%|███▌      | 300M/850M [00:06<00:18, 31.2MB/s]Downloading:  36%|███▌      | 303M/850M [00:06<00:19, 29.2MB/s]Downloading:  36%|███▋      | 310M/850M [00:07<00:14, 39.4MB/s]Downloading:  37%|███▋      | 314M/850M [00:07<00:16, 35.0MB/s]Downloading:  37%|███▋      | 318M/850M [00:07<00:16, 33.1MB/s]Downloading:  38%|███▊      | 322M/850M [00:07<00:16, 34.4MB/s]Downloading:  38%|███▊      | 325M/850M [00:07<00:16, 34.2MB/s]Downloading:  39%|███▉      | 331M/850M [00:07<00:13, 41.3MB/s]Downloading:  40%|███▉      | 338M/850M [00:07<00:10, 50.5MB/s]Downloading:  40%|████      | 344M/850M [00:07<00:10, 51.7MB/s]Downloading:  41%|████      | 349M/850M [00:07<00:10, 50.1MB/s]Downloading:  42%|████▏     | 354M/850M [00:08<00:11, 45.5MB/s]Downloading:  42%|████▏     | 359M/850M [00:08<00:10, 49.6MB/s]Downloading:  43%|████▎     | 364M/850M [00:08<00:11, 44.3MB/s]Downloading:  43%|████▎     | 369M/850M [00:08<00:12, 40.2MB/s]Downloading:  44%|████▍     | 374M/850M [00:08<00:11, 43.9MB/s]Downloading:  45%|████▍     | 380M/850M [00:08<00:10, 48.2MB/s]Downloading:  45%|████▌     | 384M/850M [00:08<00:10, 48.3MB/s]Downloading:  46%|████▌     | 389M/850M [00:08<00:11, 40.8MB/s]Downloading:  46%|████▋     | 394M/850M [00:09<00:10, 44.4MB/s]Downloading:  47%|████▋     | 399M/850M [00:09<00:11, 42.7MB/s]Downloading:  48%|████▊     | 404M/850M [00:09<00:10, 45.5MB/s]Downloading:  48%|████▊     | 409M/850M [00:09<00:10, 45.3MB/s]Downloading:  49%|████▊     | 413M/850M [00:09<00:09, 46.2MB/s]Downloading:  49%|████▉     | 418M/850M [00:09<00:09, 46.4MB/s]Downloading:  50%|████▉     | 422M/850M [00:09<00:09, 46.0MB/s]Downloading:  50%|█████     | 428M/850M [00:09<00:08, 50.1MB/s]Downloading:  51%|█████     | 433M/850M [00:09<00:10, 43.0MB/s]Downloading:  51%|█████▏    | 437M/850M [00:10<00:10, 42.9MB/s]Downloading:  52%|█████▏    | 442M/850M [00:10<00:09, 46.2MB/s]Downloading:  53%|█████▎    | 447M/850M [00:10<00:09, 46.0MB/s]Downloading:  53%|█████▎    | 451M/850M [00:10<00:10, 38.7MB/s]Downloading:  54%|█████▎    | 455M/850M [00:10<00:12, 34.4MB/s]Downloading:  54%|█████▍    | 459M/850M [00:10<00:12, 33.6MB/s]Downloading:  54%|█████▍    | 462M/850M [00:10<00:12, 31.5MB/s]Downloading:  55%|█████▍    | 467M/850M [00:10<00:11, 34.9MB/s]Downloading:  55%|█████▌    | 470M/850M [00:11<00:12, 32.7MB/s]Downloading:  56%|█████▌    | 477M/850M [00:11<00:09, 42.9MB/s]Downloading:  57%|█████▋    | 483M/850M [00:11<00:08, 46.6MB/s]Downloading:  57%|█████▋    | 488M/850M [00:11<00:10, 37.5MB/s]Downloading:  58%|█████▊    | 491M/850M [00:11<00:11, 33.2MB/s]Downloading:  58%|█████▊    | 495M/850M [00:11<00:11, 32.8MB/s]Downloading:  59%|█████▊    | 499M/850M [00:11<00:10, 35.3MB/s]Downloading:  59%|█████▉    | 505M/850M [00:11<00:08, 42.4MB/s]Downloading:  60%|█████▉    | 509M/850M [00:12<00:10, 35.5MB/s]Downloading:  60%|██████    | 513M/850M [00:12<00:09, 36.0MB/s]Downloading:  61%|██████    | 518M/850M [00:12<00:09, 38.5MB/s]Downloading:  62%|██████▏   | 523M/850M [00:12<00:08, 42.7MB/s]Downloading:  62%|██████▏   | 528M/850M [00:12<00:07, 45.6MB/s]Downloading:  63%|██████▎   | 533M/850M [00:12<00:07, 45.0MB/s]Downloading:  63%|██████▎   | 540M/850M [00:12<00:06, 52.3MB/s]Downloading:  64%|██████▍   | 545M/850M [00:12<00:08, 37.4MB/s]Downloading:  65%|██████▌   | 554M/850M [00:13<00:06, 50.4MB/s]Downloading:  66%|██████▌   | 560M/850M [00:13<00:06, 46.0MB/s]Downloading:  67%|██████▋   | 566M/850M [00:13<00:06, 43.5MB/s]Downloading:  67%|██████▋   | 570M/850M [00:13<00:07, 39.1MB/s]Downloading:  68%|██████▊   | 577M/850M [00:13<00:06, 46.2MB/s]Downloading:  68%|██████▊   | 582M/850M [00:13<00:06, 42.4MB/s]Downloading:  69%|██████▉   | 586M/850M [00:13<00:07, 38.9MB/s]Downloading:  69%|██████▉   | 590M/850M [00:14<00:07, 35.4MB/s]Downloading:  70%|██████▉   | 595M/850M [00:14<00:07, 38.1MB/s]Downloading:  71%|███████   | 603M/850M [00:14<00:05, 48.5MB/s]Downloading:  72%|███████▏  | 609M/850M [00:14<00:04, 53.4MB/s]Downloading:  72%|███████▏  | 614M/850M [00:14<00:05, 45.3MB/s]Downloading:  73%|███████▎  | 619M/850M [00:14<00:05, 41.7MB/s]Downloading:  74%|███████▎  | 626M/850M [00:14<00:04, 49.8MB/s]Downloading:  74%|███████▍  | 632M/850M [00:14<00:04, 47.8MB/s]Downloading:  75%|███████▍  | 636M/850M [00:15<00:05, 42.9MB/s]Downloading:  75%|███████▌  | 642M/850M [00:15<00:04, 43.9MB/s]Downloading:  76%|███████▌  | 648M/850M [00:15<00:04, 48.1MB/s]Downloading:  77%|███████▋  | 653M/850M [00:15<00:04, 42.5MB/s]Downloading:  77%|███████▋  | 657M/850M [00:15<00:05, 37.6MB/s]Downloading:  78%|███████▊  | 661M/850M [00:15<00:05, 38.2MB/s]Downloading:  78%|███████▊  | 665M/850M [00:15<00:04, 40.2MB/s]Downloading:  79%|███████▊  | 669M/850M [00:15<00:04, 38.1MB/s]Downloading:  79%|███████▉  | 674M/850M [00:16<00:04, 41.3MB/s]Downloading:  80%|███████▉  | 680M/850M [00:16<00:03, 45.7MB/s]Downloading:  80%|████████  | 684M/850M [00:16<00:03, 45.9MB/s]Downloading:  81%|████████  | 689M/850M [00:16<00:03, 44.8MB/s]Downloading:  82%|████████▏ | 695M/850M [00:16<00:03, 51.0MB/s]Downloading:  82%|████████▏ | 700M/850M [00:16<00:03, 45.3MB/s]Downloading:  83%|████████▎ | 707M/850M [00:16<00:02, 51.8MB/s]Downloading:  84%|████████▍ | 714M/850M [00:16<00:02, 57.4MB/s]Downloading:  85%|████████▍ | 719M/850M [00:17<00:02, 50.7MB/s]Downloading:  85%|████████▌ | 724M/850M [00:17<00:02, 48.1MB/s]Downloading:  86%|████████▌ | 729M/850M [00:17<00:02, 44.3MB/s]Downloading:  86%|████████▋ | 734M/850M [00:17<00:03, 37.4MB/s]Downloading:  87%|████████▋ | 738M/850M [00:17<00:02, 40.4MB/s]Downloading:  87%|████████▋ | 742M/850M [00:17<00:03, 37.5MB/s]Downloading:  88%|████████▊ | 747M/850M [00:17<00:02, 40.9MB/s]Downloading:  88%|████████▊ | 751M/850M [00:17<00:02, 36.2MB/s]Downloading:  89%|████████▉ | 755M/850M [00:18<00:02, 35.1MB/s]Downloading:  89%|████████▉ | 759M/850M [00:18<00:02, 36.8MB/s]Downloading:  90%|████████▉ | 764M/850M [00:18<00:02, 41.2MB/s]Downloading:  90%|█████████ | 768M/850M [00:18<00:02, 39.2MB/s]Downloading:  91%|█████████ | 772M/850M [00:18<00:02, 34.4MB/s]Downloading:  91%|█████████ | 776M/850M [00:18<00:02, 33.1MB/s]Downloading:  92%|█████████▏| 783M/850M [00:18<00:01, 44.3MB/s]Downloading:  93%|█████████▎| 788M/850M [00:18<00:01, 47.3MB/s]Downloading:  93%|█████████▎| 793M/850M [00:18<00:01, 46.2MB/s]Downloading:  94%|█████████▍| 798M/850M [00:19<00:01, 41.1MB/s]Downloading:  94%|█████████▍| 802M/850M [00:19<00:01, 43.6MB/s]Downloading:  95%|█████████▍| 807M/850M [00:19<00:01, 36.0MB/s]Downloading:  95%|█████████▌| 811M/850M [00:19<00:01, 31.2MB/s]Downloading:  96%|█████████▌| 814M/850M [00:19<00:01, 28.5MB/s]Downloading:  96%|█████████▌| 817M/850M [00:20<00:01, 21.3MB/s]Downloading:  97%|█████████▋| 821M/850M [00:20<00:01, 26.8MB/s]Downloading:  97%|█████████▋| 829M/850M [00:20<00:00, 37.9MB/s]Downloading:  98%|█████████▊| 834M/850M [00:20<00:00, 41.1MB/s]Downloading:  99%|█████████▊| 838M/850M [00:20<00:00, 36.0MB/s]Downloading:  99%|█████████▉| 842M/850M [00:20<00:00, 30.1MB/s]Downloading: 100%|█████████▉| 848M/850M [00:20<00:00, 36.4MB/s]Downloading: 100%|██████████| 850M/850M [00:20<00:00, 42.8MB/s]
/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
Traceback (most recent call last):
  File "/home/y5luo/DSC180B_project/T5_SQuAD_Prompt_Tuning/run.py", line 200, in <module>
    main(args)
  File "/home/y5luo/DSC180B_project/T5_SQuAD_Prompt_Tuning/run.py", line 140, in main
    train(args)
  File "/home/y5luo/DSC180B_project/T5_SQuAD_Prompt_Tuning/run.py", line 127, in train
    trainer.train()
  File "/home/y5luo/.local/lib/python3.9/site-packages/transformers/trainer.py", line 1332, in train
    tr_loss_step = self.training_step(model, inputs)
  File "/home/y5luo/.local/lib/python3.9/site-packages/transformers/trainer.py", line 1891, in training_step
    loss = self.compute_loss(model, inputs)
  File "/home/y5luo/.local/lib/python3.9/site-packages/transformers/trainer.py", line 1923, in compute_loss
    outputs = model(**inputs)
  File "/opt/conda/lib/python3.9/site-packages/torch/nn/modules/module.py", line 1051, in _call_impl
    return forward_call(*input, **kwargs)
  File "/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/data_parallel.py", line 168, in forward
    outputs = self.parallel_apply(replicas, inputs, kwargs)
  File "/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/data_parallel.py", line 178, in parallel_apply
    return parallel_apply(replicas, inputs, kwargs, self.device_ids[:len(replicas)])
  File "/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/parallel_apply.py", line 78, in parallel_apply
    thread.join()
  File "/opt/conda/lib/python3.9/threading.py", line 1033, in join
    self._wait_for_tstate_lock()
  File "/opt/conda/lib/python3.9/threading.py", line 1049, in _wait_for_tstate_lock
    elif lock.acquire(block, timeout):
KeyboardInterrupt
